tender_no,source_files,folder_path
2025_BHEL_54793_1,"[""BOQ_59198.xls_1763372692_2096720495.xls"", ""Tendernotice_1_(74).pdf_1763372692_1730078515.pdf""]",tender-documents
2025_BHEL_54839_1,"[""Tendernotice_1_(37).pdf_1763374775_1627026504.pdf""]",tender-documents
2025_BHEL_55092_1,"[""Tendernotice_1_(43).pdf_1763970217_19346100.pdf""]",tender-documents
2025_BHEL_56156_1,"[""BOQ_60710.xls_1768032982_1746578299.xls"", ""Tendernotice_1_(32).pdf_1768032982_1178937382.pdf""]",tender-documents
2025_BPSCL_246426_1,"[""bpscl.pdf_1756294092_1642234720.pdf""]",tender-documents
2025_BPSCL_250675_1,"[""B.pdf_1760181191_1912147078.pdf"", ""Tendernotice_1_(33).pdf_1760181191_76468139.pdf""]",tender-documents
2025_BSER_466752_1,"[""Tendernotice_1_(3).pdf_1748841624_1841879033.pdf""]",tender-documents
2025_BSNL_228755_1,"[""bsnl.pdf_1741177413_1109996168.pdf""]",tender-documents
2025_CCL_348566_1,"[""ccl.pdf_1764847207_2070803986.pdf"", ""Tendernotice_1_-_2025-12-04T164553.348.pdf_1764847207_773032615.pdf""]",tender-documents
2025_CCL_349603_1,"[""UPS.pdf_1766131029_2049348601.pdf"", ""Tendernotice_1_-_2025-12-19T132543.053.pdf_1766131029_405962324.pdf""]",tender-documents
2025_CCL_349603_3,"[""FCBC.pdf_1766137854_1974281378.pdf"", ""Tendernotice_1_-_2025-12-19T151941.493.pdf_1766137854_1845929732.pdf""]",tender-documents
2025_CEL_247013_1,"[""179735732.xls_1757498701_1122777138.xls"", ""179735733.pdf_1757498701_417186007.pdf"", ""91967039.pdf_1757498701_1363728295.pdf""]",tender-documents
2025_CEPWD_518344_2,"[""Tendernotice_2_(10).pdf_1765180459_1027709977.pdf"", ""Tendernotice_1_-_2025-12-08T132355.314.pdf_1765180459_1564567554.pdf""]",tender-documents
2025_CEPWD_67476_1,"[""94865255.pdf_1763976508_1291601420.pdf"", ""94865255.xls_1763976508_1912703975.xls""]",tender-documents
2025_CHD_84132_1,"[""ced.pdf_1736855098_812548463.pdf""]",tender-documents
2025_CIAL_807427_1,"[""93336146.pdf_1761905694_342190385.pdf"", ""93336146.xls_1761905694_684656624.xls""]",tender-documents
